是否必填			1	1	1	1	1	1	1	1	1	1	1	1	1	1
74	电能表	PZ80L-E3 输入电压AC220V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
75	电能表	PZ80L-E3 输入电压AC220V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
76	电能表	PZ80L-E3 输入电压AC220V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
77	电能表	PZ80L-E3 输入电压AC380V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
78	电能表	PZ80L-E3 输入电压AC380V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
79	电能表	PZ80L-E3 输入电压AC380V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
80	电能表	PZ80L-E3 输入电压AC380V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
81	电能表	PZ80L-E4 输入电压AC220V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
82	电能表	PZ80L-E4 输入电压AC220V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
83	电能表	PZ80L-E4 输入电压AC220V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
84	电能表	PZ80L-E4 输入电压AC220V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
85	电能表	PZ80L-E4 输入电压AC380V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
86	电能表	PZ80L-E4 输入电压AC380V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
87	电能表	PZ80L-E4 输入电压AC380V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
88	电能表	PZ80L-E4 输入电压AC380V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
89	电能表	PZ80L-E3(4)/H 输入电压AC220V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
90	电能表	PZ80L-E3(4)/H 输入电压AC220V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
91	电能表	PZ80L-E3(4)/H 输入电压AC220V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
92	电能表	PZ80L-E3(4)/H 输入电压AC220V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
93	电能表	PZ80L-E3(4)/H 输入电压AC380V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
