			1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类型	认证	防爆类型	信号输出	显示及操作	电气连接	防护等级	压力范围	量程	精度	过程连接	连接材质	膜片材质	填充油	附加信息
60	差压压力变送器	EJA430E-JHS5J-919EA/KF22(-10~10kPa)	横河川仪	EJA430E	微差压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~500kPa	-10~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
61	差压压力变送器	3051DP1A62A1BM5B4HR5(0~3kPa)	艾默生	3051DP	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
62	差压压力变送器	3051DP1A62A1BM5B4HR5(-3~3kPa)	艾默生	3051DP	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-3~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
63	差压压力变送器	3051DP1A62A1BM5B4HR5(0~5kPa)	艾默生	3051DP	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
64	差压压力变送器	3051DP1A62A1BM5B4HR5(-5~5kPa)	艾默生	3051DP	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-5~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
65	差压压力变送器	3051DP2A62A1BM5B4HR5(0~10kPa)	艾默生	3051DP	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-62.2kPa至62.2kPa	0~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
66	差压压力变送器	3051DP2A62A1BM5B4HR5(-10~10kPa)	艾默生	3051DP	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-62.2kPa至62.2kPa	-10~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
67	差压压力变送器	3051DP1A62A1BM5B4E3HR5(0~3kPa)	艾默生	3051DP	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
68	差压压力变送器	3051DP1A62A1BM5B4E3HR5(-3~3kPa)	艾默生	3051DP	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-3~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
69	差压压力变送器	3051DP1A62A1BM5B4E3HR5(0~5kPa)	艾默生	3051DP	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
70	差压压力变送器	3051DP1A62A1BM5B4E3HR5(-5~5kPa)	艾默生	3051DP	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-5~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
71	差压压力变送器	3051DP2A62A1BM5B4E3HR5(0~10kPa)	艾默生	3051DP	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-62.2kPa至62.2kPa	0~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
72	差压压力变送器	3051DP2A62A1BM5B4E3HR5(-10~10kPa)	艾默生	3051DP	微差压	中国防火(ExdIICT4/T6)	隔爆	4-20mA HART	本地显示	M20		-62.2kPa至62.2kPa	-10~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
73	差压压力变送器	3051DP1A62A1BM5B4K8HR5(0~3kPa)	艾默生	3051DP	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
74	差压压力变送器	3051DP1A62A1BM5B4K8HR5(-3~3kPa)	艾默生	3051DP	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-3~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
75	差压压力变送器	3051DP1A62A1BM5B4K8HR5(0~5kPa)	艾默生	3051DP	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
76	差压压力变送器	3051DP1A62A1BM5B4K8HR5(-5~5kPa)	艾默生	3051DP	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	-5~5kPa		NPT1/4内螺纹*2	304	316L	硅油	
77	差压压力变送器	3051DP2A62A1BM5B4K8HR5(0~10kPa)	艾默生	3051DP	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-62.2kPa至62.2kPa	0~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
78	差压压力变送器	3051DP2A62A1BM5B4K8HR5(-10~10kPa)	艾默生	3051DP	微差压	ATEX 防火,本安, n 型,防尘	本安	4-20mA HART	本地显示	M20		-62.2kPa至62.2kPa	-10~10kPa		NPT1/4内螺纹*2	304	316L	硅油	
79	差压压力变送器	3051DG1A62A1BM5B4HR5(0~3kPa)	艾默生	3051DG	微差压	无认证	非防爆	4-20mA HART	本地显示	M20		-6.22kPa~6.22kPa	0~3kPa		NPT1/4内螺纹*2	304	316L	硅油	
