			1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	认证	防爆类型	信号输出	显示及操作	电缆入口	防护等级	测量范围	精度	过程连接	连接材质	膜片材质	填充油	量程	附加信息
78	表压压力变送器	PMP51-NB21JB1UGBG1JA1+AK(0~100bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~100bar	
79	表压压力变送器	PMP51-NB21JB1WGBG1JA1+AK(0~160bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~160bar	
80	表压压力变送器	PMP51-NB21JB1WGBG1JA1+AK(0~250bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~250bar	
81	表压压力变送器	PMP51-NB21JB1PGBR1CB1+AK(0~6bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~6bar	
82	表压压力变送器	PMP51-NB21JB1PGBR1CB1+AK(0~10bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~10bar	
83	表压压力变送器	PMP51-NB21JB1SGBR1CB1+AK(0~16bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~16bar	
84	表压压力变送器	PMP51-NB21JB1SGBR1CB1+AK(0~25bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~25bar	
85	表压压力变送器	PMP51-NB21JB1UGBR1CB1+AK(0~60bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~60bar	
86	表压压力变送器	PMP51-NB21JB1UGBR1CB1+AK(0~100bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~100bar	
87	表压压力变送器	PMP51-NB21JB1WGBR1CB1+AK(0~160bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~160bar	
88	表压压力变送器	PMP51-NB21JB1WGBR1CB1+AK(0~250bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~250bar	
89	表压压力变送器	PMP51-NB21JB1PGBGRCB1+AK(0~6bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~6bar	
90	表压压力变送器	PMP51-NB21JB1PGBGRCB1+AK(0~10bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~10bar	
91	表压压力变送器	PMP51-NB21JB1SGBGRCB1+AK(0~16bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~16bar	
92	表压压力变送器	PMP51-NB21JB1SGBGRCB1+AK(0~25bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~25bar	
93	表压压力变送器	PMP51-NB21JB1UGBGRCB1+AK(0~60bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~60bar	
94	表压压力变送器	PMP51-NB21JB1UGBGRCB1+AK(0~100bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~100bar	
95	表压压力变送器	PMP51-NB21JB1WGBGRCB1+AK(0~160bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~160bar	
