是否必填			1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	电机功率	相数及电压	通讯代号	EMC滤波器	备注
100	低压变频器	ACS580-04-725A-4	ABB	ACS580-04系列变频器	400kW	三相AC380V-415V	无代号	可选件	一般应用
101	低压变频器	ACS580-04-820A-4	ABB	ACS580-04系列变频器	450kW	三相AC380V-415V	无代号	可选件	一般应用
102	低压变频器	ACS580-04-880A-4	ABB	ACS580-04系列变频器	500kW	三相AC380V-415V	无代号	可选件	一般应用
103	低压变频器	SINAMICS G120C 0.55kW AF FSA	西门子	SINAMICS G120C系列紧凑型变频器	0.55kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
104	低压变频器	SINAMICS G120C 0.75kW AF FSA	西门子	SINAMICS G120C系列紧凑型变频器	0.75kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
105	低压变频器	SINAMICS G120C 1.1kW AF FSA	西门子	SINAMICS G120C系列紧凑型变频器	1.1kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
106	低压变频器	SINAMICS G120C 1.5kW AF FSA	西门子	SINAMICS G120C系列紧凑型变频器	1.5kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
107	低压变频器	SINAMICS G120C 2.2kW AF FSA	西门子	SINAMICS G120C系列紧凑型变频器	2.2kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
108	低压变频器	SINAMICS G120C 3.0kW AF FSA	西门子	SINAMICS G120C系列紧凑型变频器	3.0kW 	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
109	低压变频器	SINAMICS G120C 4.0kW AF FSA	西门子	SINAMICS G120C系列紧凑型变频器	4.0kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
110	低压变频器	SINAMICS G120C 5.5kW AF FSB	西门子	SINAMICS G120C系列紧凑型变频器	5.5kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
111	低压变频器	SINAMICS G120C 7.5kW AF FSB	西门子	SINAMICS G120C系列紧凑型变频器	7.5kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
112	低压变频器	SINAMICS G120C 11kW AF FSC	西门子	SINAMICS G120C系列紧凑型变频器	11kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
113	低压变频器	SINAMICS G120C 15kW AF FSC	西门子	SINAMICS G120C系列紧凑型变频器	15kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
114	低压变频器	SINAMICS G120C 18.5kW AF FSC	西门子	SINAMICS G120C系列紧凑型变频器	18.5kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
115	低压变频器	SINAMICS G120C 22kW AF FSD	西门子	SINAMICS G120C系列紧凑型变频器	22kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
116	低压变频器	SINAMICS G120C 30kW AF FSD	西门子	SINAMICS G120C系列紧凑型变频器	30kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
117	低压变频器	SINAMICS G120C 37kW AF FSD	西门子	SINAMICS G120C系列紧凑型变频器	37kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
118	低压变频器	SINAMICS G120C 45kW AF FSD	西门子	SINAMICS G120C系列紧凑型变频器	45kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
119	低压变频器	SINAMICS G120C 55kW AF FSE	西门子	SINAMICS G120C系列紧凑型变频器	55kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
120	低压变频器	SINAMICS G120C 75kW AF FSF	西门子	SINAMICS G120C系列紧凑型变频器	75kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
121	低压变频器	SINAMICS G120C 90kW AF FSF	西门子	SINAMICS G120C系列紧凑型变频器	90kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
122	低压变频器	SINAMICS G120C 100kW AF FSF	西门子	SINAMICS G120C系列紧凑型变频器	100kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
123	低压变频器	SINAMICS G120C 132kW AF FSF	西门子	SINAMICS G120C系列紧凑型变频器	132kW	AC380-480V标准型	PROFINET,Ethemet/IP	"内置EMC A级/C2滤波器
"	轻载应用
124	低压变频器	SINAMICS G120 PM240-2 0.55kW AL FSA+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	0.55kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
125	低压变频器	SINAMICS G120 PM240-2 0.75kW AL FSA+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	0.75kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
126	低压变频器	SINAMICS G120 PM240-2 1.1kW AL FSA+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	1.1kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
127	低压变频器	SINAMICS G120 PM240-2 1.5kW AL FSA+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	1.5kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
128	低压变频器	SINAMICS G120 PM240-2 2.2kW AL FSA+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	2.2kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
129	低压变频器	SINAMICS G120 PM240-2 3kW AL FSA+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	3.0kW 	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
130	低压变频器	SINAMICS G120 PM240-2 4kW AL FSB+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	4.0kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
131	低压变频器	SINAMICS G120 PM240-2 5.5kW AL FSB+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	5.5kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
132	低压变频器	SINAMICS G120 PM240-2 7.5kW AL FSB+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	7.5kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
133	低压变频器	SINAMICS G120 PM240-2 11kW AL FSC+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	11kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
134	低压变频器	SINAMICS G120 PM240-2 15kW AL FSC+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	15kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
135	低压变频器	SINAMICS G120 PM240-2 18.5kW AL FSD+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	18.5kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
136	低压变频器	SINAMICS G120 PM240-2 22kW AL FSD+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	22kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
137	低压变频器	SINAMICS G120 PM240-2 30kW AL FSD+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	30kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
138	低压变频器	SINAMICS G120 PM240-2 37kW AL FSD+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	37kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
139	低压变频器	SINAMICS G120 PM240-2 45kW AL FSE+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	45kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
140	低压变频器	SINAMICS G120 PM240-2 55kW AL FSE+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	55kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
141	低压变频器	SINAMICS G120 PM240-2 75kW AL FSF+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	75kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
142	低压变频器	SINAMICS G120 PM240-2 90kW AL FSF+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	90kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
143	低压变频器	SINAMICS G120 PM240-2 110kW AL FSF+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	100kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
144	低压变频器	SINAMICS G120 PM240-2 132kW AL FSF+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	132kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
145	低压变频器	SINAMICS G120 PM240 160kW UA FSGX+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	160kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
146	低压变频器	SINAMICS G120 PM240 200kW UA FSGX+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	200kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
147	低压变频器	SINAMICS G120 PM240 250kW UA FSGX+CU240E-2PN 3 AC380-480V标准型	西门子	SINAMICS G120系列变频器	250kW	3相AC380-480V标准型	PROFINET,Ethemet/IP	带内置A级滤波器	轻载应用
148	低压变频器	FC-360-HK37-T4-E20-H2-X-X-C-X-X-X-SXXX-X-A0-BX	丹佛斯	FC360系列变频器	0.37kW	3相380/480V交流	PROFIBUS	C3等级的RFI滤波器(EN61800-3)	重载应用
149	低压变频器	FC-360-HK55-T4-E20-H2-X-X-C-X-X-X-SXXX-X-A0-BX	丹佛斯	FC360系列变频器	0.55kW	3相380/480V交流	PROFIBUS	C3等级的RFI滤波器(EN61800-3)	重载应用
150	低压变频器	FC-360-HK75-T4-E20-H2-X-X-C-X-X-X-SXXX-X-A0-BX	丹佛斯	FC360系列变频器	0.75kW	3相380/480V交流	PROFIBUS	C3等级的RFI滤波器(EN61800-3)	重载应用
151	低压变频器	FC-360-H1K1-T4-E20-H2-X-X-C-X-X-X-SXXX-X-A0-BX	丹佛斯	FC360系列变频器	1.1kW	3相380/480V交流	PROFIBUS	C3等级的RFI滤波器(EN61800-3)	重载应用
152	低压变频器	FC-360-H1K5-T4-E20-H2-X-X-C-X-X-X-SXXX-X-A0-BX	丹佛斯	FC360系列变频器	1.5kW	3相380/480V交流	PROFIBUS	C3等级的RFI滤波器(EN61800-3)	重载应用
153	低压变频器	FC-360-H2K2-T4-E20-H2-X-X-C-X-X-X-SXXX-X-A0-BX	丹佛斯	FC360系列变频器	2.2kW	3相380/480V交流	PROFIBUS	C3等级的RFI滤波器(EN61800-3)	重载应用
