是否必填			1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类别	分断能力	脱扣曲线	额定电流	极数	可配剩余电流动作附件	额定剩余动作电流	可配电气附件
90	微型断路器	iC65 N-B 50A /3P	施耐德	iC65	标准断路器	6KA	B型	50A	3P	无漏电保护	无漏电保护	无脱扣附件
91	微型断路器	iC65 N-B 63A /3P	施耐德	iC65	标准断路器	6KA	B型	63A	3P	无漏电保护	无漏电保护	无脱扣附件
92	微型断路器	iC65 H-B 1A /3P	施耐德	iC65	标准断路器	10KA	B型	1A	3P	无漏电保护	无漏电保护	无脱扣附件
93	微型断路器	iC65 H-B 2A /3P	施耐德	iC65	标准断路器	10KA	B型	2A	3P	无漏电保护	无漏电保护	无脱扣附件
94	微型断路器	iC65 H-B 3A /3P	施耐德	iC65	标准断路器	10KA	B型	3A	3P	无漏电保护	无漏电保护	无脱扣附件
95	微型断路器	iC65 H-B 4A /3P	施耐德	iC65	标准断路器	10KA	B型	4A	3P	无漏电保护	无漏电保护	无脱扣附件
96	微型断路器	iC65 H-B 6A /3P	施耐德	iC65	标准断路器	10KA	B型	6A	3P	无漏电保护	无漏电保护	无脱扣附件
97	微型断路器	iC65 H-B 10A /3P	施耐德	iC65	标准断路器	10KA	B型	10A	3P	无漏电保护	无漏电保护	无脱扣附件
98	微型断路器	iC65 H-B 16A /3P	施耐德	iC65	标准断路器	10KA	B型	16A	3P	无漏电保护	无漏电保护	无脱扣附件
99	微型断路器	iC65 H-B 20A /3P	施耐德	iC65	标准断路器	10KA	B型	20A	3P	无漏电保护	无漏电保护	无脱扣附件
100	微型断路器	iC65 H-B 25A /3P	施耐德	iC65	标准断路器	10KA	B型	25A	3P	无漏电保护	无漏电保护	无脱扣附件
101	微型断路器	iC65 H-B 32A /3P	施耐德	iC65	标准断路器	10KA	B型	32A	3P	无漏电保护	无漏电保护	无脱扣附件
102	微型断路器	iC65 H-B 40A /3P	施耐德	iC65	标准断路器	10KA	B型	40A	3P	无漏电保护	无漏电保护	无脱扣附件
103	微型断路器	iC65 H-B 50A /3P	施耐德	iC65	标准断路器	10KA	B型	50A	3P	无漏电保护	无漏电保护	无脱扣附件
104	微型断路器	iC65 H-B 63A /3P	施耐德	iC65	标准断路器	10KA	B型	63A	3P	无漏电保护	无漏电保护	无脱扣附件
105	微型断路器	iC65 L-B 1A /3P	施耐德	iC65	标准断路器	15KA	B型	1A	3P	无漏电保护	无漏电保护	无脱扣附件
106	微型断路器	iC65 L-B 2A /3P	施耐德	iC65	标准断路器	15KA	B型	2A	3P	无漏电保护	无漏电保护	无脱扣附件
107	微型断路器	iC65 L-B 3A /3P	施耐德	iC65	标准断路器	15KA	B型	3A	3P	无漏电保护	无漏电保护	无脱扣附件
108	微型断路器	iC65 L-B 4A /3P	施耐德	iC65	标准断路器	15KA	B型	4A	3P	无漏电保护	无漏电保护	无脱扣附件
109	微型断路器	iC65 L-B 6A /3P	施耐德	iC65	标准断路器	15KA	B型	6A	3P	无漏电保护	无漏电保护	无脱扣附件
110	微型断路器	iC65 L-B 10A /3P	施耐德	iC65	标准断路器	15KA	B型	10A	3P	无漏电保护	无漏电保护	无脱扣附件
111	微型断路器	iC65 L-B 16A /3P	施耐德	iC65	标准断路器	15KA	B型	16A	3P	无漏电保护	无漏电保护	无脱扣附件
112	微型断路器	iC65 L-B 20A /3P	施耐德	iC65	标准断路器	15KA	B型	20A	3P	无漏电保护	无漏电保护	无脱扣附件
113	微型断路器	iC65 L-B 25A /3P	施耐德	iC65	标准断路器	15KA	B型	25A	3P	无漏电保护	无漏电保护	无脱扣附件
114	微型断路器	iC65 L-B 32A /3P	施耐德	iC65	标准断路器	15KA	B型	32A	3P	无漏电保护	无漏电保护	无脱扣附件
115	微型断路器	iC65 L-B 40A /3P	施耐德	iC65	标准断路器	15KA	B型	40A	3P	无漏电保护	无漏电保护	无脱扣附件
116	微型断路器	iC65 L-B 50A /3P	施耐德	iC65	标准断路器	15KA	B型	50A	3P	无漏电保护	无漏电保护	无脱扣附件
117	微型断路器	iC65 L-B 63A /3P	施耐德	iC65	标准断路器	15KA	B型	63A	3P	无漏电保护	无漏电保护	无脱扣附件
118	微型断路器	iC65 N-C 1A /1P	施耐德	iC65	标准断路器	6KA	C型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
119	微型断路器	iC65 N-C 2A /1P	施耐德	iC65	标准断路器	6KA	C型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
120	微型断路器	iC65 N-C 3A /1P	施耐德	iC65	标准断路器	6KA	C型	3A	1P	无漏电保护	无漏电保护	无脱扣附件
121	微型断路器	iC65 N-C 4A /1P	施耐德	iC65	标准断路器	6KA	C型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
122	微型断路器	iC65 N-C 6A /1P	施耐德	iC65	标准断路器	6KA	C型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
123	微型断路器	iC65 N-C 10A /1P	施耐德	iC65	标准断路器	6KA	C型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
124	微型断路器	iC65 N-C 16A /1P	施耐德	iC65	标准断路器	6KA	C型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
125	微型断路器	iC65 N-C 20A /1P	施耐德	iC65	标准断路器	6KA	C型	20A	1P	无漏电保护	无漏电保护	无脱扣附件
126	微型断路器	iC65 N-C 25A /1P	施耐德	iC65	标准断路器	6KA	C型	25A	1P	无漏电保护	无漏电保护	无脱扣附件
127	微型断路器	iC65 N-C 32A /1P	施耐德	iC65	标准断路器	6KA	C型	32A	1P	无漏电保护	无漏电保护	无脱扣附件
128	微型断路器	iC65 N-C 40A /1P	施耐德	iC65	标准断路器	6KA	C型	40A	1P	无漏电保护	无漏电保护	无脱扣附件
