是否必填			1	1	1	0	0	0	0	0	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接	浮球式样	本体管	翻板指示器	外型结构-上端型式	外型结构-下端型式	压力范围	量程	传送器	刻度尺
47	磁翻板液位计	EFA11B1K1-1800XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1800mm	铝合金烤漆外壳	金属
48	磁翻板液位计	EFA11B1K1-1900XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1900mm	铝合金烤漆外壳	金属
49	磁翻板液位计	EFA11B1K1-2000XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2000mm	铝合金烤漆外壳	金属
50	磁翻板液位计	EFA11B1K1-2100XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2100mm	铝合金烤漆外壳	金属
51	磁翻板液位计	EFA11B1K1-2200XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2200mm	铝合金烤漆外壳	金属
52	磁翻板液位计	EFA11B1K1-2400XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2400mm	铝合金烤漆外壳	金属
53	磁翻板液位计	EFA11B1K1-2600XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2600mm	铝合金烤漆外壳	金属
54	磁翻板液位计	EFA11B1K1-2800XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2800mm	铝合金烤漆外壳	金属
55	磁翻板液位计	EFA11B1K1-3000XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	3000mm	铝合金烤漆外壳	金属
56	磁翻板液位计	EFA11B1K1-3200XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	3200mm	铝合金烤漆外壳	金属
57	磁翻板液位计	EFA11B1K1-3400XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	3400mm	铝合金烤漆外壳	金属
58	磁翻板液位计	EFA11B1K1-3600XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	3600mm	铝合金烤漆外壳	金属
59	磁翻板液位计	EFC31B1H1-0450GM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	450mm	ABS外壳	金属
60	磁翻板液位计	EFC31B1H1-0550GM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	550mm	ABS外壳	金属
61	磁翻板液位计	EFC31B1H1-0650GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	650mm	ABS外壳	金属
62	磁翻板液位计	EFC31B1H1-0750GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	750mm	ABS外壳	金属
63	磁翻板液位计	EFC31B1H1-0500GM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	500mm	ABS外壳	金属
64	磁翻板液位计	EFC31B1H1-0600GM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	600mm	ABS外壳	金属
65	磁翻板液位计	EFC31B1H1-0700GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	700mm	ABS外壳	金属
66	磁翻板液位计	EFC31B1H1-0800GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	800mm	ABS外壳	金属
67	磁翻板液位计	EFC31B1H1-0900GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	900mm	ABS外壳	金属
68	磁翻板液位计	EFC31B1H1-1000GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	1000mm	ABS外壳	金属
69	磁翻板液位计	EFC31B1H1-1100GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	1100mm	ABS外壳	金属
70	磁翻板液位计	EFC31B1H1-1200GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	1200mm	ABS外壳	金属
71	磁翻板液位计	EFC31B1H1-1300GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	1300mm	ABS外壳	金属
72	磁翻板液位计	EFC31B1H1-1400GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	1400mm	ABS外壳	金属
73	磁翻板液位计	EFC31B1H1-1500GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	1500mm	ABS外壳	金属
74	磁翻板液位计	EFC31B1H1-1600GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	1600mm	ABS外壳	金属
75	磁翻板液位计	EFC31B1H1-1700GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	1700mm	ABS外壳	金属
76	磁翻板液位计	EFC31B1H1-1800GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	1800mm	ABS外壳	金属
77	磁翻板液位计	EFC31B1H1-1900GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	1900mm	ABS外壳	金属
78	磁翻板液位计	EFC31B1H1-2000GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	2000mm	ABS外壳	金属
79	磁翻板液位计	EFC31B1H1-2100GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	2100mm	ABS外壳	金属
80	磁翻板液位计	EFC31B1H1-2200GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	2200mm	ABS外壳	金属
81	磁翻板液位计	EFC31B1H1-2400GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	2400mm	ABS外壳	金属
82	磁翻板液位计	EFC31B1H1-2600GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	2600mm	ABS外壳	金属
83	磁翻板液位计	EFC31B1H1-2800GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	2800mm	ABS外壳	金属
84	磁翻板液位计	EFC31B1H1-3000GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	3000mm	ABS外壳	金属
85	磁翻板液位计	EFC31B1H1-3200GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	3200mm	ABS外壳	金属
86	磁翻板液位计	EFC31B1H1-3400GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	3400mm	ABS外壳	金属
87	磁翻板液位计	EFC31B1H1-3600GM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2580(SUS316),比重0.87	SUS316,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+塞头	-1~10kg/cm2	3600mm	ABS外壳	金属
88	磁翻板液位计	EFG11B1K1-0450XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2630(TITANIUM),比重0.51	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	450mm	铝合金烤漆外壳	金属
89	磁翻板液位计	EFG11B1K1-0550XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2630(TITANIUM),比重0.51	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	550mm	铝合金烤漆外壳	金属
90	磁翻板液位计	EFG11B1K1-0650XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2630(TITANIUM),比重0.51	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	650mm	铝合金烤漆外壳	金属
91	磁翻板液位计	EFG11B1K1-0750XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2630(TITANIUM),比重0.51	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	750mm	铝合金烤漆外壳	金属
92	磁翻板液位计	EFG11B1K1-0500XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2630(TITANIUM),比重0.51	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	500mm	铝合金烤漆外壳	金属
